,Unnamed: 0,Unnamed: 0.1,volatilidade,VaR,ES
0,0.0,0.0,0.0120108362557085,-0.0238787195392829,-0.0329711241687319
1,1.0,,0.0124784839893018,-0.0248099585777798,-0.0342471769578824
2,,,0.0122125778922307,-0.0242808763163121,-0.0335194505645359
